Noise,OP,stdev,OP,stdev,OP,stdev,OP,stdev
0,1,0,1,0,1,0,1,0
0.25,0.997,0,0.997,0,0.997,0,0.997,0
0.5,0.98,0,0.986,0,0.989,0,0.989,0
0.75,0.957,0,0.971,0,0.974,0,0.972,0
1,0.943,0,0.944,0,0.957,0,0.956,0
1.25,0.904,0,0.907,0.001,0.933,0,0.934,0
1.5,0.874,0.001,0.877,0.001,0.896,0,0.922,0
1.75,0.834,0.001,0.858,0,0.856,0,0.865,0
2,0.777,0.001,0.789,0.003,0.83,0,0.826,0.001
2.25,0.676,0.008,0.72,0.014,0.778,0,0.789,0.001
2.5,0.607,0.024,0.657,0.005,0.712,0,0.755,0.004
2.75,0.613,0.002,0.619,0.007,0.658,0.002,0.686,0.002
3,0.556,0.004,0.579,0.002,0.616,0.002,0.637,0.001
3.25,0.447,0.008,0.53,0.001,0.562,0,0.592,0.002
3.5,0.339,0.01,0.442,0.012,0.478,0,0.572,0.007
3.75,0.261,0.003,0.396,0,0.4,0.003,0.574,0.003
4,0.238,0.011,0.225,0.012,0.355,0.008,0.426,0.004
4.25,0.149,0.002,0.171,0.013,0.26,0.009,0.389,0.013
4.5,0.112,0.004,0.174,0.008,0.246,0.004,0.219,0.018
4.75,0.064,0.002,0.11,0.002,0.132,0.012,0.206,0.001
5,0.058,0,0.063,0,0.092,0.002,0.104,0.008
5.25,0.037,0,0.038,0,0.128,0.003,0.191,0.003
5.5,0.038,0,0.072,0,0.118,0.006,0.22,0.005
5.75,0.032,0,0.052,0,0.063,0.001,0.132,0.011
6,0.025,0,0.036,0,0.09,0.001,0.206,0.017
